Date,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,pH values of worm feed
17 May 2024,,,,,40g of distilled water,
18 May 2024,"100g of distilled water, 5 spoons of coffee grounds, 20g of cauliflower","100g of distilled water, 5 spoons of coffee grounds, 20g of cauliflower","100g of distilled water, 5 spoons of coffee grounds, 20g of cauliflower","100g of distilled water, 5 spoons of coffee grounds, 20g of cauliflower","100g of distilled water, 5 spoons of coffee grounds, 20g of cauliflower",7.4
19 May 2024,,,,,,
20 May 2024,"40g of banana peels, 10g coffee grounds","40g of banana peels, 10g coffee grounds","40g of banana peels, 10g coffee grounds","50g of banana peels, 10g coffee grounds","40g of banana peels, 10g coffee grounds",7.3
21 May 2024,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,
22 May 2024,,,,,,
23 May 2024,,,,,,
24 May 2024,"40g of banana peels, 10g coffee grounds","40g of banana peels, 10g coffee grounds","40g of banana peels, 10g coffee grounds","40g of banana peels, 10g coffee grounds","40g of banana peels, 10g coffee grounds",6.9
25 May 2024,,,,,,
26 May 2024,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,40g of distilled water,
27 May 2024,,,,,,
28 May 2024,,,,,,
29 May 2024,,,,,,
30 May 2024,,,,,,
31 May 2024,,,,,,
1 June 2024,,,,,,
2 June 2024,,,,,,
3 June 2024,,,,,,
4 June 2024,,,,,,
5 June 2024,,,,,,
6 June 2024,,,,,,
7 June 2024,,,,,,
8 June 2024,,,,,,
9 June 2024,,,,,,
10 June 2024,,,,,,
11 June 2024,,,,,,
12 June 2024,,,,,,
13 June 2024,,,,,,
14 June 2024,,,,,,
15 June 2024,,,,,,
16 June 2024,,,,,,
17 June 2024,,,,,,
18 June 2024,,,,,,
19 June 2024,,,,,,
20 June 2024,,,,,,
21 June 2024,,,,,,
22 June 2024,,,,,,
23 June 2024,,,,,,
24 June 2024,,,,,,
25 June 2024,,,,,,
26 June 2024,,,,,,
27 June 2024,,,,,,
28 June 2024,,,,,,
29 June 2024,,,,,,
30 June 2024,,,,,,
