Timestamp,Number of Worms (non-counted),Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,Buzzer,pH Rod 1,pH Rod 2,Grams of Compost Harvested
Unit,Number,ppm,ppm,ppm,ppm,ppm,ppm,lux,DEG C,%,NIL,NIL,NIL,NIL,mV,mV,g
"17 Apr 2024, 10:00 AM",25,133,149,170,157,140,152,42,27.4,98,42,1,1,,190.28,190.73,
"17 Apr 2024, 10:10 AM",25,178,185,170,157,140,152,41,27.4,98,42,1,1,,183.17,189.52,
"17 Apr 2024, 10:20 AM",25,149,135,170,158,143,152,42,27.4,98,42,1,1,,188.62,189.19,
"17 Apr 2024, 10:30 AM",25,135,163,170,157,140,152,42,27.4,98,42,1,1,,185.14,192.14,
"17 Apr 2024, 10:40 AM",25,154,173,170,157,140,152,40,27.5,98,45,1,1,,185.02,186.33,
"17 Apr 2024, 10:50 AM",25,190,162,170,157,140,152,42,27.9,98,42,1,1,,192.53,185.03,
"17 Apr 2024, 11:00 AM",25,145,169,170,157,140,152,40,27.4,98,42,1,1,,186.11,187.31,
"17 Apr 2024, 11:10 AM",25,174,134,170,154,140,152,41,27.8,98,42,1,1,,184.62,184.90,
"17 Apr 2024, 11:20 AM",25,131,185,170,157,140,153,42,27.6,98,42,1,1,,191.25,191.41,
"17 Apr 2024, 11:30 AM",25,135,144,170,158,140,152,42,27.5,98,41,1,1,,186.57,188.81,
"17 Apr 2024, 11:40 AM",25,170,167,170,157,140,152,42,27.9,98,43,1,1,,189.11,184.57,
"17 Apr 2024, 11:50 AM",25,141,140,171,157,140,152,42,27.9,98,43,1,1,,184.01,183.38,
"17 Apr 2024, 12:00 PM",25,160,131,170,156,140,152,41,27.4,98,42,1,1,,190.48,186.33,
"17 Apr 2024, 12:10 PM",25,173,150,170,157,140,152,42,27.4,98,41,1,1,,183.38,182.92,
"17 Apr 2024, 12:20 PM",25,160,153,170,157,140,152,42,27.4,98,45,1,1,,185.77,183.05,
"17 Apr 2024, 12:30 PM",25,167,159,170,157,143,153,42,27.7,98,45,1,1,,191.95,187.93,
"17 Apr 2024, 12:40 PM",25,170,150,171,157,143,152,41,27.4,98,43,1,1,,188.25,183.30,
"17 Apr 2024, 12:50 PM",25,168,157,172,157,143,152,42,27.8,98,43,1,1,,187.33,185.82,
"17 Apr 2024, 1:00 PM",25,169,153,170,154,143,154,42,27.5,98,43,1,1,,191.18,192.12,
"17 Apr 2024, 1:10 PM",25,161,156,170,157,143,152,42,27.9,98,45,1,1,,186.75,192.58,
"17 Apr 2024, 1:20 PM",25,163,151,170,157,143,154,42,28.0,98,41,1,1,,185.22,192.73,
"17 Apr 2024, 1:30 PM",25,169,160,170,157,140,152,42,27.9,98,41,1,1,,184.18,184.29,
"17 Apr 2024, 1:40 PM",25,166,153,170,157,143,154,42,27.8,98,42,1,1,,184.21,185.45,
"17 Apr 2024, 1:50 PM",25,161,156,172,157,140,152,42,27.8,98,41,1,1,,188.90,183.13,
"17 Apr 2024, 2:00 PM",25,164,152,172,156,140,152,42,27.6,98,45,1,1,,184.24,185.13,
"17 Apr 2024, 2:10 PM",25,160,152,170,157,140,153,42,28.0,98,42,1,1,,191.71,184.48,
"17 Apr 2024, 2:20 PM",25,160,154,170,157,140,154,40,27.8,98,43,1,1,,183.15,189.16,
"17 Apr 2024, 2:30 PM",25,166,158,170,157,140,153,40,27.8,98,43,1,1,,190.85,184.91,
"17 Apr 2024, 2:40 PM",25,168,153,172,157,140,152,42,28.0,98,41,1,1,,188.14,190.02,
"17 Apr 2024, 2:50 PM",25,167,153,170,156,140,152,42,28.0,98,44,1,1,,189.35,187.91,
"17 Apr 2024, 3:00 PM",25,169,150,170,157,140,152,40,27.5,98,44,1,1,,190.15,183.10,
"17 Apr 2024, 3:10 PM",25,168,154,170,157,143,152,42,27.4,98,44,1,1,,189.15,190.87,
"17 Apr 2024, 3:20 PM",25,165,154,170,157,140,152,42,27.4,98,41,1,1,,186.69,186.16,
"17 Apr 2024, 3:30 PM",25,168,156,170,157,140,154,42,27.8,98,41,1,1,,183.78,192.07,
"17 Apr 2024, 3:40 PM",25,166,161,170,157,140,152,42,28.0,98,42,1,1,,185.31,187.78,
"17 Apr 2024, 3:50 PM",25,165,163,170,157,140,152,42,27.8,98,41,1,1,,185.34,192.05,
"17 Apr 2024, 4:00 PM",25,163,160,173,157,140,152,42,27.7,98,42,1,1,,187.05,187.45,
"17 Apr 2024, 4:10 PM",25,165,170,170,157,141,152,53,27.8,98,42,1,1,,183.84,191.45,
"17 Apr 2024, 4:20 PM",25,165,165,170,157,140,152,53,27.5,98,42,1,1,,192.61,183.66,
"17 Apr 2024, 4:30 PM",25,163,166,170,157,143,154,53,27.9,98,42,1,1,,188.35,183.89,
"17 Apr 2024, 4:40 PM",25,167,162,170,157,143,152,53,28.0,98,42,1,1,,190.75,187.32,
"17 Apr 2024, 4:50 PM",25,160,164,170,164,143,152,53,27.4,98,42,1,1,,190.67,189.35,
"17 Apr 2024, 5:00 PM",25,163,168,173,164,143,152,53,27.6,98,45,1,1,,189.61,183.11,
