Timestamp,Number of Worms (non-counted),Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,Grams of Compost Harvested,Buzzer
"5 Apr 2024, 10:00 AM",14,193,197,193,193,193,193,NaN,27.4,93,42,1,1,,Off
"5 Apr 2024, 10:01 AM",14,189,159,172,145,156,145,NaN,27.4,93,42,1,1,,Off
"5 Apr 2024, 10:02 AM",14,163,159,160,145,142,140,NaN,27.4,95,42,1,1,,Off
"5 Apr 2024, 10:03 AM",14,196,152,162,143,193,173,NaN,27.4,97,42,1,1,,Off
"5 Apr 2024, 10:04 AM",14,142,176,185,162,181,187,NaN,27.4,95,42,1,1,,Off
"5 Apr 2024, 10:05 AM",14,140,176,152,192,145,167,NaN,27.4,99,42,1,1,,Off
"5 Apr 2024, 10:06 AM",14,159,187,199,190,184,189,NaN,27.4,99,43,1,1,,Off
"5 Apr 2024, 10:07 AM",14,149,150,188,150,166,147,NaN,27.4,99,42,1,1,,Off
"5 Apr 2024, 10:08 AM",14,188,162,161,175,179,172,NaN,27.4,99,45,1,1,,Off
"5 Apr 2024, 10:09 AM",14,161,151,170,162,194,163,NaN,27.4,99,42,1,1,,Off
"5 Apr 2024, 10:10 AM",14,143,193,179,201,176,176,NaN,27.4,99,42,1,1,,Off
"5 Apr 2024, 10:11 AM",14,150,160,197,157,185,201,NaN,27.4,99,42,1,1,,Off
"5 Apr 2024, 10:12 AM",14,148,183,164,153,150,159,NaN,27.4,99,42,1,1,,Off
"5 Apr 2024, 10:13 AM",14,148,153,152,173,146,161,NaN,27.4,99,42,1,1,,Off
"5 Apr 2024, 10:14 AM",14,146,181,140,172,150,173,NaN,27.4,99,42,1,1,,Off
"5 Apr 2024, 10:15 AM",14,150,178,170,194,140,192,NaN,27.4,99,42,1,1,,Off
"5 Apr 2024, 10:16 AM",14,148,171,158,180,163,166,NaN,27.4,99,50,1,1,,Off
"5 Apr 2024, 10:17 AM",14,149,171,150,145,151,191,NaN,27.4,99,44,1,1,,Off
"5 Apr 2024, 10:18 AM",14,150,155,200,201,142,180,NaN,27.4,99,42,1,1,,Off
"5 Apr 2024, 10:19 AM",14,145,174,151,185,175,195,NaN,27.4,99,42,1,1,,Off
