Timestamp,Number of Worms (non-counted),Phosphorous01,Phosphorous02,Nitrogen01,Nitrogen02,Potassium01,Potassium02,Light Intensity,Temp01,Hum01,Heat01,SoilM01,SoilM02,Grams of Compost Harvested,Buzzer (NIL)
"2 May 2024, 9:20 AM",20,145,145,161,162,113,119,30,29.1,71,48,1,1,,
"2 May 2024, 9:30 AM",20,147,146,169,166,110,115,32,31.3,71,44,1,1,,
"2 May 2024, 9:40 AM",20,147,147,165,166,117,113,32,28.7,71,48,1,1,,
"2 May 2024, 9:50 AM",20,146,146,166,170,114,115,32,32.8,71,42,1,1,,
"2 May 2024, 10:00 AM",20,146,146,167,168,119,112,32,28.5,71,49,1,1,,
"2 May 2024, 10:10 AM",20,145,145,168,166,115,117,30,31.5,71,44,1,1,,
"2 May 2024, 10:20 AM",20,147,147,167,170,111,117,32,28.5,71,49,1,1,,
"2 May 2024, 10:30 AM",20,145,145,166,163,114,117,31,28.5,71,49,1,1,,
"2 May 2024, 10:40 AM",20,147,146,170,170,114,110,32,32.1,71,43,1,1,,
"2 May 2024, 10:50 AM",20,146,146,168,168,113,118,31,28.5,71,49,1,1,,
"2 May 2024, 11:00 AM",20,147,147,167,166,109,115,29,28.5,71,49,1,1,,
"2 May 2024, 11:10 AM",20,147,147,162,163,117,109,32,30.5,71,45,1,1,,
"2 May 2024, 11:20 AM",20,146,147,171,164,119,118,30,30.2,71,46,1,1,,
"2 May 2024, 11:30 AM",20,147,145,166,165,118,111,31,28.5,71,49,1,1,,
"2 May 2024, 11:40 AM",20,145,146,162,166,117,119,32,28.5,71,49,1,1,,
"2 May 2024, 11:50 AM",20,146,146,163,171,119,119,30,28.5,71,49,1,1,,
"2 May 2024, 12:00 PM",20,146,146,169,164,118,110,31,28.5,71,49,1,1,,
"2 May 2024, 12:10 PM",20,147,145,163,164,119,120,31,28.5,71,49,1,1,,
"2 May 2024, 12:20 PM",20,147,147,171,172,117,115,31,28.5,71,49,1,1,,
"2 May 2024, 12:30 PM",20,146,145,169,167,113,118,30,28.5,71,49,1,1,,
"2 May 2024, 12:40 PM",20,145,147,169,173,110,113,32,28.7,71,48,1,1,,
"2 May 2024, 12:50 PM",20,145,146,169,166,116,118,30,28.4,71,49,1,1,,
"2 May 2024, 1:00 PM",20,146,145,171,173,115,111,29,28.4,71,49,1,1,,
"2 May 2024, 1:10 PM",20,147,146,173,171,113,116,32,28.4,71,49,1,1,,
"2 May 2024, 1:20 PM",20,145,146,163,171,111,119,31,28.2,71,49,1,1,,
"2 May 2024, 1:30 PM",20,146,147,170,172,111,120,29,28.1,71,49,1,1,,
"2 May 2024, 1:40 PM",20,146,145,164,169,111,115,32,28.6,71,48,1,1,,
"2 May 2024, 1:50 PM",20,147,147,167,164,120,112,30,31.5,71,44,1,1,,
"2 May 2024, 2:00 PM",20,147,146,169,173,119,116,29,31.5,70,43,1,1,,
"2 May 2024, 2:10 PM",20,146,0,0,0,0,0,50,32.9,71,42,1,1,,
"2 May 2024, 2:20 PM",20,145,0,0,0,0,0,54,31.3,73,45,1,1,,
"2 May 2024, 2:30 PM",20,145,0,0,0,0,0,53,32.1,73,44,0,1,103g harvested,
"2 May 2024, 2:40 PM",20,146,30,29,30,120,123,30,32.6,73,44,0,1,,
"2 May 2024, 2:50 PM",20,145,30,29,29,123,122,30,32.6,73,44,0,1,,
"2 May 2024, 3:00 PM",20,147,31,23,29,119,122,30,33.0,74,44,1,1,,
"2 May 2024, 3:10 PM",20,146,42,30,27,122,119,30,31.3,74,46,1,1,,
"2 May 2024, 3:20 PM",20,147,42,31,26,119,120,30,32.6,74,44,1,1,,
"2 May 2024, 3:30 PM",20,146,42,31,27,118,119,32,31.5,75,46,1,1,,
"2 May 2024, 3:40 PM",20,146,42,33,27,123,122,32,31.6,75,46,1,1,,
"2 May 2024, 3:50 PM",20,147,43,33,27,119,119,32,31.7,76,47,1,1,,
"2 May 2024, 4:00 PM",20,147,43,34,28,122,120,32,31.5,78,48,1,1,,
"2 May 2024, 4:10 PM",20,145,42,35,30,121,121,32,28.5,76,52,1,1,,
"2 May 2024, 4:20 PM",20,147,42,34,30,118,118,31,28.5,76,52,1,1,,
